hospital_id,entity_code,hospital_name,district,ownership,directorate,verified_specialties,latitude,longitude,hospital_name_ta
TNH0064,H_18764,"APOLLO SPECIALTY HOSPITAL, Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0337165,80.2451388,"அப்பல்லோ சிறப்பு மருத்துவமனை, சென்னை, தமிழ்நாடு."
TNH0065,H_22862,"Apollo Spectra Hospital, R.A Puram, Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0179502,80.2710282,"அப்போலோ ஸ்பெக்ட்ரா மருத்துவமனை, ஆர்.ஏ.புரம், சென்னை, தமிழ்நாடு."
TNH0066,H_18449,"Appasamy Hospitals,Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0727474,80.2142306,"அப்பசாமி மருத்துவமனைகள், சென்னை, தமிழ்நாடு."
TNH0067,H_23667,"AVS Cardiac Center, Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0382216,80.273918,"ஏவிஎஸ் இருதய மையம், சென்னை, தமிழ்நாடு."
TNH0068,H_20111,Aysha Hospital Kilpauk Chennai TN.,Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.084738,80.2498797,ஆயிஷா மருத்துவமனை கீழ்ப்பாக்கம் சென்னை TN.
TNH0069,H_18759,"Bharathirajaa Speciality Hospital, Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0480855,80.2450547,"பாரதிராஜா சிறப்பு மருத்துவமனை, சென்னை டி.என்."
TNH0070,H_18472,"Billroth Hospitals Shenoy Nagar, Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0757774,80.2272901,"பில்ரோத் மருத்துவமனைகள், ஷெனாய் நகர், சென்னை, தமிழ்நாடு."
TNH0071,H_18688,"Billroth,Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0757774,80.2272901,"பில்ரோத், சென்னை, தமிழ்நாடு."
TNH0072,H_21989,"Bloom Health Care, Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.1170824,80.2177999,"ப்ளூம் ஹெல்த் கேர், சென்னை, தமிழ்நாடு."
TNH0073,H_22088,"Chennai National Hospital, Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.096446,80.2915071,"சென்னை தேசிய மருத்துவமனை, சென்னை, தமிழ்நாடு."
TNH0075,H_18766,"CSI KALYANI GENERAL HOSPITAL, Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0814162,80.2775787,"சிஎஸ்ஐ கல்யாணி பொது மருத்துவமனை, சென்னை, தமிழ்நாடு."
TNH0076,H_18403,"Dr Mehtas Hospitals Chetpet,Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0717977,80.2405783,"டாக்டர் மேத்தாஸ் மருத்துவமனைகள், செட்பெட், சென்னை, தமிழ்நாடு."
TNH0078,H_23668,"Fortis Health Care ltd,Vadapalani Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0474341,80.2042218,"ஃபோர்டிஸ் ஹெல்த் கேர் லிமிடெட், வடபழனி, சென்னை, தமிழ்நாடு."
TNH0079,H_23434,"GKM Hospital, Purasaiwakam, Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0900538,80.258483,"ஜி.கே.எம் மருத்துவமனை, புரசைவாக்கம், சென்னை டி.என்."
TNH0082,H_25727,"Govt Ayanavaram UCHC, Chennai TN.",Chennai,Govt-MTM,Govt,General Medicine,13.098634,80.2336945,"அரசு அயனாவரம் UCHC, சென்னை TN."
TNH0083,H_25706,"Govt CHC Adayar,  Chennai TN.",Chennai,Govt-MTM,Govt,General Medicine,13.0011774,80.2564957,"அரசு சமூக சுகாதார மையம், அடையார், சென்னை, தமிழ்நாடு."
TNH0084,H_25707,"Govt CHC RK Nagar,  Chennai TN.",Chennai,Govt-MTM,Govt,General Medicine,13.1200744,80.2800421,"அரசு சமூக சுகாதார மையம், ஆர்.கே. நகர், சென்னை, தமிழ்நாடு."
TNH0085,H_25733,"Govt INJAMBAKKAM UCHC, Chennai TN.",Chennai,Govt-MTM,Govt,General Medicine,12.9197836,80.2511237,"அரசு இஞ்சம்பாக்கம் UCHC, சென்னை TN."
TNH0086,H_25882,"Govt Kalaignar Centenary Spr Spl Hosp, Chennai TN.",Chennai,Govt-DME,Govt,Multi-Speciality,13.0151079,80.2155023,"Govt Kalaignar Centenary Spr Spl Hosp, Chennai TN."
TNH0087,H_25728,"Govt Manjambakkam UCHC, Chennai TN.",Chennai,Govt-MTM,Govt,General Medicine,13.1551411,80.2224191,"அரசு மஞ்சம்பாக்கம் UCHC, சென்னை TN."
TNH0088,H_25775,"Govt Mirsahibpet UCHC, Chennai TN.",Chennai,Govt-MTM,Govt,General Medicine,13.0515731,80.2718556,"அரசு மிர்சாஹிப்பேட்டை UCHC, சென்னை TN."
TNH0089,H_25735,"Govt PADI UCHC, Chennai TN.",Chennai,Govt-MTM,Govt,General Medicine,13.0948397,80.1782506,"அரசு PADI UCHC, சென்னை, தமிழ்நாடு."
TNH0090,H_25730,"Govt Perungudi UCHC, Chennai TN.",Chennai,Govt-MTM,Govt,General Medicine,12.9655387,80.2422812,"அரசு பெருங்குடி UCHC, சென்னை TN."
TNH0091,H_25734,"Govt PORUR UCHC, Chennai TN.",Chennai,Govt-MTM,Govt,General Medicine,13.0381896,80.1565461,"அரசு போரூர் UCHC, சென்னை, தமிழ்நாடு."
TNH0092,H_25708,"Govt Pulianthope CHC,Chennai TN.",Chennai,Govt-MTM,Govt,General Medicine,13.0981638,80.2683186,"அரசு புளியந்தோப்பு சமூக சுகாதார மையம், சென்னை, தமிழ்நாடு."
TNH0093,H_25729,"Govt Puzhal CHC, Chennai TN.",Chennai,Govt-MTM,Govt,General Medicine,13.1584711,80.2036881,"அரசு புழல் சமூக சுகாதார மையம், சென்னை, தமிழ்நாடு."
TNH0094,H_25744,"Govt Sanjeevarayanpet UCHC, Chennai TN.",Chennai,Govt-MTM,Govt,General Medicine,13.1205755,80.288576,"அரசு சஞ்சீவராயன்பேட்டை UCHC, சென்னை TN."
TNH0095,H_25736,"Govt Thiruvottiyur UCHC, Chennai TN.",Chennai,Govt-MTM,Govt,General Medicine,13.1796816,80.304693,"அரசு திருவொற்றியூர் UCHC, சென்னை, தமிழ்நாடு."
TNH0096,H_25732,"Govt VADAPALANI UCHC, Chennai TN.",Chennai,Govt-MTM,Govt,General Medicine,13.0499711,80.2121306,"அரசு வடபழனி UCHC, சென்னை TN."
TNH0099,H_26350,"Iswarya Hospital, Omr, Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,12.9791468,80.252843,"ஐஸ்வர்யா மருத்துவமனை, ஓம்ர், சென்னை TN."
TNH0101,H_19649,"Kauvery Hospital Chennai,TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.04771,80.2042062,"காவேரி மருத்துவமனை, சென்னை, தமிழ்நாடு."
TNH0102,H_26026,"Kauvery Hospital, Vadapalani, Chennai, TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.04771,80.2042062,"காவேரி மருத்துவமனை, வடபழனி, சென்னை, தமிழ்நாடு."
TNH0103,H_24101,"KL Hospital, Neelangarai, Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,12.9482858,80.2546438,"KL மருத்துவமனை, நீலாங்கரை, சென்னை TN."
TNH0104,H_18290,"Kumaran Hospital Kilpauk, Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0790214,80.2490449,"குமரன் மருத்துவமனை கீழ்ப்பாக்கம், சென்னை TN."
TNH0105,H_18622,"Laksha Hospital,Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0435647,80.2636248,"லக்ஷா மருத்துவமனை, சென்னை, தமிழ்நாடு."
TNH0107,H_18365,"M R Hospital,Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0725314,80.2195736,"எம் ஆர் மருத்துவமனை, சென்னை, தமிழ்நாடு."
TNH0108,H_22575,"Medway Hospital, Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0536322,80.22752,"மெட்வே மருத்துவமனை, சென்னை, தமிழ்நாடு."
TNH0109,H_26006,"Meridian Hospital, Chennai, TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.1363386,80.2159769,"மெரிடியன் மருத்துவமனை, சென்னை, தமிழ்நாடு."
TNH0110,H_26138,"Mgm Healthcare Malar Adyar, Chennai, TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0101544,80.258616,"எம்ஜிஎம் ஹெல்த்கேர் மலர் அடையார், சென்னை, தமிழ்நாடு."
TNH0111,H_23009,"MGM HOSPITAL, Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0709761,80.2216656,"எம்ஜிஎம் மருத்துவமனை, சென்னை, தமிழ்நாடு."
TNH0112,H_18406,"Miot Hospital, Chennai TN. ",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0213892,80.1857828,"மியோட் மருத்துவமனை, சென்னை, தமிழ்நாடு."
TNH0113,H_22294,"Murugan Hospital kilpauk, Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0833879,80.2342535,"முருகன் மருத்துவமனை, கீழ்ப்பாக்கம், சென்னை, தமிழ்நாடு."
TNH0114,H_26005,"National Centre of Ageing, Chennai TN.",Chennai,Govt-DME,Govt,Multi-Speciality,13.0156828,80.2160559,"தேசிய முதுமையியல் மையம், சென்னை, தமிழ்நாடு."
TNH0115,H_18217,"New Hope Medical Center, Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0777063,80.2415533,"நியூ ஹோப் மருத்துவ மையம், சென்னை, தமிழ்நாடு."
TNH0116,H_20113,Nichani Hospital Royapuram Chennai TN.,Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.111235,80.2938835,நிச்சானி மருத்துவமனை ராயபுரம் சென்னை டி.என்.
TNH0117,H_18633,"Noble Hospital,Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0823185,80.2532024,"நோபல் மருத்துவமனை, சென்னை, தமிழ்நாடு."
TNH0118,H_25709,"PADI UCHC-TANKER DIALYSIS UNIT, Chennai TN.",Chennai,Govt-MTM,Govt,General Medicine,13.0948397,80.1782506,"PADI UCHC-டேங்கர் டயாலிசிஸ் பிரிவு, சென்னை, தமிழ்நாடு."
TNH0119,H_18237,"Pavithra Hospitals Pvt Ltd, Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0605621,80.2496936,"பவித்ரா ஹாஸ்பிடல்ஸ் பிரைவேட் லிமிடெட், சென்னை TN."
TNH0120,H_23542,"Pon Malligai Hospital, Adambakkam, Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,12.9922443,80.2058809,"பொன் மல்லிகை மருத்துவமனை, ஆதம்பாக்கம், சென்னை TN."
TNH0121,H_20715,Prashanth Hospital Velachery Chennai TN.,Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,12.978498,80.2213184,பிரசாந்த் மருத்துவமனை வேளச்சேரி சென்னை டி.என்.
TNH0123,H_18214,"Prime Indian Hospitals Pvt Ltd, Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.076723,80.205766,"பிரைம் இந்தியன் ஹாஸ்பிடல்ஸ் பிரைவேட் லிமிடெட், சென்னை, தமிழ்நாடு."
TNH0124,H_23682,"Promed Hospital, Kottivakkam, Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,12.971583,80.258285,"Promed Hospital, கொட்டிவாக்கம், சென்னை TN."
TNH0125,H_18285,"Public Health And Welfare Society, Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.045118,80.2118933,"பொது சுகாதார மற்றும் நலவாழ்வு சங்கம், சென்னை, தமிழ்நாடு."
TNH0126,H_23683,"Radha Rajendran Hospital,Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0057618,80.2042755,"ராதா ராஜேந்திரன் மருத்துவமனை, சென்னை TN."
TNH0127,H_22682,"S.G Hospital, Chennai TN.",Chennai,PVT HOSPITAL,Pvt,"Nephrology,Multi-Speciality",13.1070788,80.2468354,"எஸ்.ஜி மருத்துவமனை, சென்னை, தமிழ்நாடு."
TNH0128,H_21990,"Sakthi Hospital, Triplicane, Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0570045,80.2757397,"சக்தி மருத்துவமனை, டிரிப்ளிகேன், சென்னை TN."
TNH0129,H_18647,"SAMPAT NURSING HOME,CHENNAI TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0366621,80.272674,"சம்பத் நர்சிங் ஹோம், சென்னை TN."
TNH0131,H_18461,"Sen Hospital Perambur,Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.110833,80.2419017,"சென் மருத்துவமனை பெரம்பூர், சென்னை TN."
TNH0133,H_22030,"SIMS, Vadapalani, Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0516924,80.2117546,"சிம்ஸ், வடபழனி, சென்னை, தமிழ்நாடு."
TNH0134,H_18323,"Soorya Hospital Saligramam, Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.048184,80.2034821,"சூர்யா மருத்துவமனை சாலிகிராமம், சென்னை TN."
TNH0135,H_23689,"The Best Hospital, Kodambakkam, Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0535287,80.219486,"சிறந்த மருத்துவமனை, கோடம்பாக்கம், சென்னை, தமிழ்நாடு."
TNH0136,H_23550,"Trinity Acute care,chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0386351,80.257815,"டிரினிட்டி அக்யூட் கேர், சென்னை, தமிழ்நாடு."
TNH0137,H_22750,"Venkataeswara Hospital, Nandhanam, Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0294521,80.2440883,"வெங்கடேஸ்வரா மருத்துவமனை, நந்தனம், சென்னை TN."
TNH0138,H_18626,"Vijaya Hospital,Chennai TN.",Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0495242,80.2086187,"விஜயா மருத்துவமனை, சென்னை, தமிழ்நாடு."
TNH0139,H_20055,VOLUNTARY HEALTH SERVICES THARAMANI CHENNAI TN.,Chennai,PVT HOSPITAL,Pvt,Multi-Speciality,13.0025369,80.2473355,"தன்னார்வ சுகாதார சேவைகள், தாராமணி, சென்னை, தமிழ்நாடு."
TNH0141,H_18248,"Abinand Hospital,Coimbatore TN.",Coimbatore,PVT,PVT,Multi-Speciality,10.9544799,76.973423,"அபினந்த் மருத்துவமனை, கோயம்புத்தூர் TN."
TNH0143,H_18918,"Alwa Hospital,Coimbatore,TN.",Coimbatore,PVT,PVT,Multi-Speciality,11.013285,76.9627255,"ஆல்வா மருத்துவமனை, கோயம்புத்தூர், தமிழ்நாடு."
TNH0145,H_18566,"Arthy Hospital,Coimbatore TN.",Coimbatore,PVT,PVT,"Nephrology,Urology,General Medicine",10.9959477,76.9963268,"ஆர்த்தி மருத்துவமனை, கோயம்புத்தூர், தமிழ்நாடு."
TNH0146,H_18958,"Arun Hospital Pollachi,Coimbatore TN.",Coimbatore,PVT,PVT,Multi-Speciality,10.6625937,77.0129459,"அருண் மருத்துவமனை, பொள்ளாச்சி, கோயம்புத்தூர், தமிழ்நாடு."
TNH0147,H_26016,"ASD Hospital, Pollachi, Coimbatore, TN.",Coimbatore,PVT,PVT,Multi-Speciality,10.66632,77.0077276,"ஏ.எஸ்.டி மருத்துவமனை, பொள்ளாச்சி, கோயம்புத்தூர், தமிழ்நாடு."
TNH0151,H_22342,"Bragathi Hospital,Siddhapudur,Coimbatore TN.",Coimbatore,PVT,PVT,"Orthopedics,Neurology,General Medicine",11.021437,76.9772209,"பிரகதி மருத்துவமனை, சித்தாபுதூர், கோயம்புத்தூர் TN."
TNH0152,H_18519,"Coimbatore Govt Medical College,Coimbatore TN.",Coimbatore,Govt,Govt,"General Medicine,Pediatrics",11.0092483,77.0241703,"கோயம்புத்தூர் அரசு மருத்துவக் கல்லூரி, கோயம்புத்தூர், தமிழ்நாடு."
TNH0153,H_23252,"CSR Nursing Home, Coimbatore TN.",Coimbatore,PVT,PVT,Multi-Speciality,11.021977,76.96612,"சிஎஸ்ஆர் நர்சிங் ஹோம், கோயம்புத்தூர், தமிழ்நாடு."
TNH0154,H_24428,"D.J Hospital, Coimbatore TN.",Coimbatore,PVT,PVT,Multi-Speciality,11.161063,76.94693,"டி.ஜே மருத்துவமனை, கோயம்புத்தூர், தமிழ்நாடு."
TNH0155,H_21367,"Deepam Hospital,Coimbatore TN.",Coimbatore,PVT,PVT,Multi-Speciality,10.99664,77.0038174,"தீபம் மருத்துவமனை, கோயம்புத்தூர் TN."
TNH0156,H_22967,"Dr. Dasarathan Memorial Hospital, Coimbatore TN.",Coimbatore,PVT,PVT,Multi-Speciality,11.0888096,76.9384823,"டாக்டர் தசரதன் நினைவு மருத்துவமனை, கோயம்புத்தூர் டி.என்."
TNH0157,H_23562,"Dr.Muthus Hospital, Saravanampatti,Coimbatore TN.",Coimbatore,PVT,PVT,Multi-Speciality,11.0735305,77.0022823,"டாக்டர்.முத்துஸ் மருத்துவமனை, சரவணம்பட்டி, கோயம்புத்தூர் TN."
TNH0158,H_24378,"FIMS Hospital, Coimbatore TN.",Coimbatore,PVT,PVT,Multi-Speciality,10.957823,76.972314,"FIMS மருத்துவமனை, கோயம்புத்தூர், தமிழ்நாடு."
